company,title,location,description
Temerix,Core Support Engineer (With Python), Вінниця,"Excellent communication in both spoken and written English Python knowledge: (Libraries: scrappy, splash, puppeteer, requests, json, etree, os, re, pandas) Understanding of OOP principles Strong knowledge of HTTP Methods and Networking, Debugging tools in Browsers, Experience with Postman Proficient understanding of code versioning tools (Git, Bitbucket ect.) Good familiarity with the Linux OS and command line (pip, basic commands) Knowledge of HTML/CSS Applicant should be able to create a simple HTML page BA in Computer Science /Information Systems or Industrial Engineering and Management Graduate — Advantage Working experience in JavaScript — Advantage NoSQL / SQL knowledge — Advantage. Reverse engineering of API/web-applications — Advantage Xpath or Regular Expressions — Advantage Ability to work well independently and productively in highly pressured environment Creative thinking and team collaborator Self-learner Performing website analysis for creating highly efficient and maintainable automated data collectors in Python Adding enhancements to existing collectors Understanding internal data pipelines, troubleshooting, spotting and overcoming issues on the different stages of data flows. Mastering different lines of business and their requirements and delivering solutions according to internal guidelines and quality requirements. Collaborating with external partners and integrating their solutions to our infrastructure Taking a logical, data-backed approach to prioritizing projects, while cooperating with colleagues from different departments at the same time. Taking ownership of new and challenging projects and enjoying being the “go-to” person. Enhancing our knowledge base with new high-end solutions. "
GR8 Tech,Middle Python Engineer (Data Engineer)," Moldova, Poland, Лімасол (Кіпр), Прага (Чехія), віддалено","We have great experience: GR8 Tech platform successfully handles millions of active players and offers best practices to develop and grow in the gambling industry. We are here to provide great gaming tech to satisfy even greater ambition! We develop complete tech coverage for gambling businesses worldwide, including iGaming platform solutions, consulting, integration, and long-lasting operation services. —	Developing, testing, and supporting features; —	Creating and maintaining automated unit tests and functional tests; —	Seeking, giving, and receiving critical feedback in a constructive manner, including but not limited to code reviews; —	Engaging in engineering on-call escalated support of services owned by the team; —	Working with product management to get requirements and drive technical feedback on complexity/approaches. —	1.5+ years of proven experience writing high-quality code using Python; —	An understanding of design for scalability, performance, and reliability; —	Strong Computer Science fundamentals in object-oriented design, data structures, algorithm design, problem-solving, and complexity analysis; —	Ability and willingness to learn about new technologies; —	Self-motivated and proactive, able to take ownership and deliver results; —	Personal drive to get things finished; —	Fundamental understanding of Kubernetes and Helm; —	Experience in writing, and improving complex SQL queries; —	Base knowledge of Airflow; —	Good knowledge of PostgreSQL or other databases.  —	Experience with AWS; —	Data Science experience; —	CI/CD pipeline experience; —	Base knowledge of Spark; —	Fundamental understanding of Flink; —	Experience with Kafka; —	Hands-on experience with infrastructure provisioning and configuration using Infrastructure as Code (IaC) principles; —	Experience with Go. —	Sports compensation; —	Medical coverage; —	Psychological support; —	Home-office coverage.  —	Remote work, Coworking compensation; —	Childcare budget; —	Maternity leave; —	Paternity leave; —	Additional 2 days for family events.  —	Open feedback and transparent direct communications; —	Growth and development: better every day; —	High tolerance to experiment and mistakes; —	Supportive friendly environment."
Nova Digital,Middle Python Data Science," Київ, віддалено","Автоматизовувати наявні прогнози та звіти для Компанії згідно бізнес вимог внутрішніх замовників Розробляти нові алгоритми для рішення задач Підтримувати та удосконалювати наявні рішення для бізнес замовників Досвід розробки з Python від  2-х  років Досвід роботи з базами даних (PostgreSQL, SQL Server) Впевнене володіння математичним апаратом для Python: numpy, scipy, pandas, statsmodels та інше Досвід роботи з Machine Learning, зокрема з часовими рядами Рівень володіння англійської мови В1 Офіційне працевлаштування Оплачувану відпустку  Медичне страхування Необхідну техніку для роботи Корпоративну культуру, яка мотивує та заряджає позитивом Роботу в соціально відповідальній компанії, що слідкує за трендами, цінує ідеї співробітників і розвивається разом з ним Можливість безпосередньо впливати на створення продукту, яким користуються мільйони користувачів Можливість роботи віддалено або у сучасному офісі, за бажанням "
Deloitte,Middle Python Developer (Ukraine location only)," Київ, віддалено","Develop, modify, and maintain complex web applications. Design, implement, and optimize RESTful APIs using FastAPI or Flask. Work closely with cross-functional teams to ensure reliable application performance. Manage and optimize relational databases, including PostgreSQL, and MongoDB for efficient data management. Implement data validation and serialization with Pydantic. Develop CI/CD pipelines and ensure smooth deployment processes. Perform unit and integration testing to maintain high code quality. 2+ years of experience in backend development using Python (version 3.9+). Proficiency in FastAPI or Flask. Experience with Pydantic for data validation. Strong knowledge of SQL and ORM tools such as SQLAlchemy. Experience with relational databases (PostgreSQL) and MongoDB. Familiarity with Redis for caching solutions. Solid understanding of version control, specifically Git. Familiarity with Docker and containerized applications. Knowledge of best practices in software development and code quality. Experience with Celery for task queuing. Familiarity with AsyncIO for asynchronous programming. Knowledge of Kubernetes for container orchestration. Experience with cloud platforms such as AWS or Azure. Familiarity with RabbitMQ for messaging. "
Droppity,Middle to Senior Python Developer for IoT Controller Project," за кордоном, віддалено","Design, develop, and maintain robust backend systems using Django for IoT control and monitoring Implement and optimize RESTful APIs and WebSocket communication for real-time data handling Integrate MQTT protocols to support seamless communication with IoT devices Develop secure authentication and authorization layers using OAuth2 and JWT for data protection and access control Collaborate with frontend developers to ensure seamless data flow and UI integration Work with embedded engineers to manage data communication and control between the backend and IoT devices Optimize code for performance, scalability, and security Debug, test, and troubleshoot to ensure system reliability and accuracy Proven experience in backend development with Python, particularly with Django Strong understanding of RESTful API design, WebSocket, and MQTT for real-time communication Experience implementing authentication with OAuth2 and token-based authorization using JWT Experience with databases (PostgreSQL, MySQL) and ORM frameworks Familiarity with Docker, Git, and CI/CD pipelines Knowledge of data serialization formats (e.g., JSON, XML) and handling real-time data Experience with IoT platforms, protocols, or data handling Familiarity with embedded systems or devices, including data flow between IoT devices and backend systems Knowledge of data visualization tools or libraries Experience with cloud platforms (e.g., AWS, Azure) and deployment "
Uvik Software,Full Stack Developer (Python/React)," за кордоном, віддалено","Practical experience with  Python  and a framework like  FastAPI ,  Flask , or  Django . Proficiency in  ReactJS  for building interactive user interfaces. Basic knowledge of  TypeScript  and how it integrates with  ReactJS . Strong debugging skills and an understanding of both  frontend  and  backend  development. Exposure to  SQL/NoSQL databases  and an understanding of how to interact with them. Familiarity with  cloud platforms  such as  AWS ,  GCP , or  Azure  is an advantage. Understanding of  Docker  (and optionally  Kubernetes ) is a bonus.   Assist in the development of both  frontend  components using  ReactJS  and  backend  features in  Python . Collaborate closely with the team to design and maintain  RESTful APIs  and  microservices . Contribute to the creation of efficient and scalable backend systems that support smooth frontend functionality. Continuously expand your knowledge of best practices in  full-stack development  and contribute to improving the development process. Participate in the documentation of application changes and contribute to regular updates and optimizations.   "
Nova Digital,Middle Python Database Developer Cloud," Київ, віддалено","Створення та оптимізація ETL-воркфлоу, проектування та оптимізація архітектури баз даних Написання ETL процедур та підвищення ефективності наявних ETL процесів, забезпечення безперебійного потоку великих масивів даних Проектування та розробка звітів, дашбордів та інформаційних активів відповідно до вимог замовників. Реалізація логіки розрахунків, формування вітрин даних Створення підписок, звітів та аналітичних дашбордів, підтримка та удосконалення існуючих активів Співпраця з командами розробників, аналітиків та бізнес-користувачів для розробки та впровадження рішень на основі даних Досвід роботи з Python 3+ в якості розробника від 2 років, знання бібліотек NumPy та Pandas, написання чистих та читабельних скриптів Впевнені знання SQL. Написання на постійній основі functions, store procedures, triggers, views, calculations, ctes, recs Робота з cloud-based: Google BigQuery, Amazon Redshift середовищами Досвід роботи з високонавантаженими та надвеликими базами даних (від 5-10тб) Вміння швидко розбиратися в коді без розуміння бізнес процесу Рівень володіння англійської мови В1 Професійний досвід роботи з сучасними аналітичними СУБД, бажано PostgreSQL, в якості розробника  Знання чи інтерес до data engineering, Big Data/Data Analytics (Tableau/Power BI, Google Cloud) Офіційне працевлаштування Оплачувану відпустку та лікарняні Медичне страхування Необхідну техніку для роботи Корпоративну культуру, яка мотивує та заряджає позитивом Роботу в соціально відповідальній компанії, що слідкує за трендами, цінує ідеї співробітників і розвивається разом з ним "
MHP,Full-stack розробник ( Python)," Київ, віддалено","Відповідати за програмний супровід бізнес додатків Відповідати за тестування розроблених рішень до передачі QA Контролювати розробку та внесення змін в існуюче програмне забезпечення Відповідати за оновлення програмного забезпечення на продуктовому середовищі (CI) Перевіряти налаштування lint (якість написання коду відповідно правил) Відповідати за створення блок-схем модулів роботи додатків Відповідати за створення схем баз даних Написання чистого, масштабованого та добре задокументованого коду Забезпечення продуктивності, якості та швидкодії додатків Маєш аналогічний досвід роботи від 2 років Досвід Back-end: Основний Python (FastAPI, Django) — REST, gRPC Було б плюсом NodeJS (NestJS) Front-end: Vue3 ecosystem Бази даних: MongoDB, PostgreSQL, MS SQL Azure Services: BlobStorage, KeyVault, Entra (Azure AD) MQ: Kafka/RabbitMQ/Azure ServiceBus Досвід розробки та написання чат-ботів Telegram, Viber Досвід роботи з Azure DevOps — було б плюсом Ти знайдеш команду однодумців Ти зможеш вдосконалюватись кожен день у нашому власному центрі розвитку співробітників Ти отримаєш можливість доєднатись до унікальних проєктів, яким немає аналогів в Україні Ти будеш отримувати офіційну та конкурентну заробітну плату за всіма нормами Трудового кодексу України Ти матимеш можливість користуватися послугами корпоративного психолога "
SPD Technology,Software Development Engineer in Test (Python), за кордоном,"Develop and enhance frameworks to facilitate automated verification of algorithms and validation of results as part of continuous integration, nightly builds, and release builds Develop, document, and execute manual and automated tests with varying difficulty to verify functionality and quality of both research and production software Develop and contribute to data synthesis of reports in dashboards to provide a cohesive, first class data visualization experience Build and optimize innovative solutions that support advanced, modular verification strategies, data analysis,  ML-based  systems and workflows Perform independent execution and completion of tasks by taking full ownership and by showing strong attention to detail that leads to quality outputs Collaborate with research scientists, bioinformaticians, systems engineers, software developers, and software quality verification engineers to ensure robustness and performance of built and tested software Bachelor Degree in Computer Science, Math, Physics, Engineering, or related quantitative field Minimum of 2+ years of Python developer proficiency with quantitative analysis experience with packages such as numpy, pandas, scipy, scikitlearn, matplotlib, etc Proficiency in Linux environment (including shell scripting) 1+ years of experience with automation frameworks in software testing (e.g. PyTest, Cucumber) Experience and/or technical depth in at least one data science-related field such as Machine Learning, Artificial Intelligence, Statistical & Data Analysis, Computational Algorithms, Data Engineering, etc Experience working with a variety of complex, large datasets Experience building automated pipelines (e.g. Jenkins, Airflow, etc) Experience building or understanding of end-to-end, distributed and high-performance software infrastructures Proven ability to work collaboratively as part of a team Proven ability to take ownership with strong attention to detail and with timely quality deliverables Excellent verbal and written communication skills Pre-Screening with the recruiter (up rto  30-45 min.) Technical Interview (up to  1-1.5 hour). Client Interview + Live Coding(up to  1-1,5 hour). Client Test Task "
Stylus,Python Engineer," Київ, за кордоном, віддалено","— ми   — ми інтернет магазин з найширшим асортиментом товарів. Також ми маємо offline магазини, точки видачі та сервісні центри у багатьох куточках України.   — ми шукаємо талановитого  .     💻 З поточних задач: — розробка нового функціонала, інтеграція зі сторонніми сервісами: банки, телефонія тощо — переписування коду з Django на FastAPI — нові архітекрутрні рішення: cdn, cache, мікросервісна архітекрута тощо     ✅ Back-end: Python, FastAPI, Django, GraphQL, PostgreSQL, MariaDB, Redis, Celery, pytest. ✅ Front-end: React, Typescript, Apollo, Redux. ✅ Infrastructure: Docker, Kubernetes, AWS, Terraform, ArgoCD, GitHub Actions.     ⏱️ Немає мікроменеджменту та тайм-трекерів, довіра в команді перш за все. 💡 Кожен в команді має можливість приймати ключові продуктові на технічні рішення. ✅ Маємо стиль кодування, налаштовані лінтери та прагнемо покривати всю кодову базу тестами. 🆙 Заохочуємо розробників працювати над інфраструктурою і розбиратися як працюють DevOps-процеси.     ✅ Досвід програмуванням на Python. ✅ Знання реляційних баз даних (індекси, нормалізація, Joins, raw SQL, profiling). ✅ Знання структурних, архітектурних та дизайн паттернів, best practices тощо. ✅ Високий рівень автономності, проактивність, ownership, strong verbal and writing skills.   ✅ Комерційний досвід в e-commerce. ✅ Практичний досвід з GraphQL. ✅ Досвід з DevOps-інструментами та практиками.   ."
OX Company,Python (Flask) Developer with experience in ML or AI, Львів,"Розробляти та підтримувати бекенд на Flask. Інтегрувати API для роботи  зі штучним інтелектом та машинним навчанням . Оптимізувати продуктивність системи та робити її масштабованою. Розуміти принципи розробки AI моделей і впроваджувати їх у проєкти. Працювати з базами даних, зокрема  PostgreSQL . Розробляти RESTful сервіси та слідкувати за безпекою додатків. Досвід роботи з  Python  (від 3 років) та  Flask  (від 2 років). Вміння працювати з  Django . Досвід роботи з  SQL ,  NoSQL  та  Neo4j  базами даних. Розуміння мікросервісної архітектури та досвід створення API. Базові знання машинного навчання та NLP (бажано). Впевнене користування  Git . Досвід роботи з  Docker . Розуміння архітектур  UNet  та роботи з трансформерами. Робота з бібліотекою  Librosa . Досвід з  FastAPI . Базові навички роботи з аудіо-даними на рівні коду. Комфортні умови та вся необхідна техніка для продуктивної роботи. Конкурентна зарплата та можливість зростання. 24 календарні дні  оплачуваної відпустки та лікарняні. Безкоштовне відвідування  спортзалу . Курси та програми підвищення кваліфікації. Можливість розвиватись і будувати кар’єру разом з нами. Перед стартом ми підписуємо  NDA  (договір про нерозголошення інформації). Після проходження випробувального терміну підписуємо трудовий договір. "
Nexteum,Python Розробник для Управління FPV Дроном, віддалено,"Ми шукаємо Python-розробника, який захоплюється робототехнікою та сучасними технологіями і готовий працювати з управлінням дронами FPV. У цьому проекті ви будете розробляти та підтримувати програмне забезпечення для автономного керування дронами, включно з комп’ютерним баченням, машинним навчанням та телеметрії.  — Розробка та оптимізація Python-скриптів для управління FPV-дронами; — Розробка алгоритмів для автономного польоту, в тому числі навігації та стабілізації;  — Інтеграція системи комп’ютерного зору для виявлення та відстеження об’єктів; — Робота з бібліотеками та фреймворками, такими як OpenCV, DroneKit, ROS і PyTorch; — Налаштування і взаємодія з різними сенсорами (GPS, IMU, камери і т.д.);  — Розробка та аналіз даних телеметрії для оптимізації льотних характеристик;  — Тестування та відладка коду на реальних дронах і симуляторах (наприклад, Gazebo, AirSim);  — Розробка REST API для віддаленого управління та моніторингу дронов;  — Участь у проектуванні та реалізації систем безпеки та відмовостійкості. :  — Досвід роботи з Python від 2 років;  — Добре знання алгоритмів і структури даних;  — Досвід роботи з бібліотеками OpenCV і PyTorch;  — Досвід розробки програмного забезпечення для дронів за допомогою DroneKit, ROS або аналогічної платформи;  — Поняття принципів роботи безпілотних літальних апаратів і систем FPV;  — Досвід роботи с системами компʼютерного бачення та машинного навчання;  — Навички роботи з Linux і налаштування вбудованої системи;  — Знання протоколів MAVLink і управління дронами;  — Досвід роботи з симуляторами дронів (Gazebo, AirSim тощо) буде плюсом;  — Англійська мова на рівні читання технічної документації.  — Досвід роботи з C++;  — Досвід роботи з мережевими протоколами і розробкою мережевих додатків; — Розуміння принципів SLAM (одночасна локалізація та відображення).  — Віддалена робота з гнучким графіком;  — Можливість роботи над інноваційними проектами в області робототехніки;  — Конкурентоспроможна заробітна платня $2500+;  — Можливість навчання та професійного зростання в області автономних систем."
