company,title,location,description
FTD solutions INC,Algorithm Engineer/Python, віддалено,"Develop, test, and maintain scalable and secure platform. (Written in PHP, Vanilla Js, Python, Mysql, Sqlite, Docker) with focus on its core — graph algorithms and built in math. Collaborate with team members to implement new features and improve existing functionality Conduct code reviews, participate in debugging sessions, and perform refactoring as needed. Rebuild of legacy PHP algorithmic core in Python is following the candidate onboarding.  Available for both strong juniors and senior enigneers with compensation matching the prooven experience 2+ years of experience in backend development with Python and associated technologies Strong algorithmic and math skills, including experience with graph algorithms, numerical methods, block algebra, etc. Experience with numpy, scipy, pandas is a strong plus. Docker, experience contributing through CICD is a must  Fluent English is required, with Ukrainian or Russian language as a strong advantage DevOps knowledge is a plus (experience setting up CI/CD pipelines, server management, and containerization is beneficial) AQA experience is a must for writting Unit and API tests. Prior e2e Cypress experience is a strong plus. Prior experience with PHP stack is a plus. Bachelor’s degree in Computer Science, Software Engineering Excellent problem-solving skills and attention to detail Effective communication skills and a collaborative mindset Persistance, flexibility, strong ability to learn Candiate questions, online coding, 2 coding excersises light and medium complexity(1h) Open form conversation to figure out candidate experience(1h)  Homework(6h) HR+reference check(30m) Cultural fit interview with leads and CEO(1h) Contract  "
UKEESS Software House,Strong Junior DevOps Engineer (with Python)," Львів, віддалено","Work with various AWS services, create new services using Terraform, configure communication between the services and application Work on and guide microservice REST API design, communicating and aggregating data from different microservices Working with enterprise tools engineer to deploy the data pipelines Evaluate large datasets, address and resolve reconcilable discrepancies through data analysis, and find opportunities for continuous data improvement. Identify automation opportunities within current analytics processes and work closely with the architecture team to implement the solution. 2+ years of professional experience in a DevOps role Good knowledge and commercial experience with the Amazon Web Services ecosystem (IAM, EC2, SQS, SNS, S3, Lambda, Secret Manager) Strong knowledge and commercial experience with Python and Django Strong knowledge and experience with Terraform Commercial experience with Docker and Kubernetes Experience development & maintenance of CI/CD pipelines Commercial experience with relational databases (MySQL is preferable) Experience in data mining, large-scale data acquisition, auditing, transformation, and cleaning, both structured and unstructured data English: Upper-intermediate level at least (both spoken and written) Spark and Airflow Nextflow FSx for Lustre Competitive compensation (based on market data but also depending on the technical level of the candidate) Flexible work schedule 3 health packages to choose Annual paid vacation and state holiday celebration Free English classes (online) Individual approach to professional growth Lack of bureaucracy and micromanagement Modern, comfortable office facilities (a barbecue zone, kitchens, lounge rooms, coffee machines, etc.) Foreign business trips On-site parking lot and charge station for Electric Cars Corporate gifts, celebrations, and fun activities Sports activities: ping-pong, soccer, work-out "
CHI Software,Middle/Senior Python Developer (EU)," Барселона (Іспанія), Краків (Польща), віддалено","At least 2+ years experience with Python language; Experience with general Python web-frameworks: Django/Flask, Aiohttp and other; AWS/Azure/GCP experience; Experience with SQL and RDBMS (PostgreSQL, MySQL), NoSQL databases and Python ORMs; Knowledge of HTTP protocol; Knowledge of version control systems: GIT or SVN; Understanding REST; Experience of writing unit and integration tests; Knowledge of CI/CD; Ability to explore and drive new ideas and technologies, think and learn independently; Experience with Front-End frameworks: React/Vue/Angular will be a plus; Conversation English level, enabling effective communication with clients and team members. Develop and maintain backend services using Python; Work with web frameworks to build robust web applications; Utilize SQL and NoSQL databases for data management; Integrate with cloud services (AWS/Azure/GCP) for scalable solutions; Write unit and integration tests to ensure code quality; Use version control systems (GIT/SVN) for code management; Implement and support CI/CD pipelines; Explore and adopt new technologies for project enhancements; Collaborate with the team to develop effective technical solutions. Covered vacation period: 20 business days and 5 days off Free English classes Flexible working schedule Truly friendly and supporting atmosphere Working remotely or in one of our offices Medical insurance for employees from Ukraine Compensation of psychological counseling Legal support Relocation assistance "
Sprinterra,Python Developer, віддалено,"Development process is managed in accordance with Agile (Scrum) methodologies. Technologies used: Python/Django for BE and Angular for FE. Design, develop, and maintain Python-based solutions. Collaborate with the team to ensure seamless integration and optimal performance. Write clean, efficient, and well-documented code. Participate in code reviews and contribute to a culture of quality and continuous improvement. Optimize applications for performance and scalability. Troubleshoot and resolve issues in production environments. 3+ years experience in Python (preferably Django). Experience working with RESTful APIs and microservices architecture. Familiarity with cloud platforms (AWS, GCP or Azure) and containerization (Docker, Kubernetes). Solid understanding of databases (SQL, NoSQL) and data modeling. Experience with version control (Git or Bitbucket) and CI/CD pipelines. Strong communication skills. Good communication level of English. "
Pecode,Python Developer," Львів, віддалено","Ти маєш не менше 2 років досвіду роботи з Python. Володієш англійською та українською на рівні B2 і вище. Бажаєш працювати в команді професіоналів і розвиватися в IT сфері. Python: Впевнено володієш синтаксисом Python, знаєш структури даних (списки, словники, множини) та об’єктно-орієнтоване програмування (ООП). Web Development: Добре розумієш принципи веб-розробки, включаючи HTTP, RESTful API, і базову архітектуру клієнт-сервер. Database Knowledge: Вмієш працювати з SQL, розумієш концепції реляційних баз даних і знайомий з базовими операціями. Django або Flask: Впевнено використовуєш Django або Flask для створення та управління веб-застосунками. Вмієш створювати базові CRUD-застосунки та розумієш фундаментальні концепції цих фреймворків. CRUD Operations: Вмієш виконувати базові Create, Read, Update, Delete (CRUD) операції. Relational Databases: Маєш міцні знання про системи управління реляційними базами даних (RDBMS) як PostgreSQL або MySQL. ORMs: Знайомий з Object-Relational Mappers (ORMs) як Django ORM або SQLAlchemy. RESTful API Principles: Добре розумієш дизайн і принципи RESTful API. Basic CRUD API Development: Вмієш створювати та управляти базовими CRUD операціями через RESTful API. Basic Web Security: Знаєш базові принципи веб-безпеки, включаючи захист від SQL ін’єкцій і Cross-Site Scripting (XSS). Docker: Маєш базові знання про Docker і контейнеризацію. CI/CD: Розумієш основи процесів Continuous Integration/Continuous Deployment (CI/CD) і інструментів. Професійний ріст: Широкі можливості для твого професійного та особистого розвитку. Свобода: Можливість вносити та реалізовувати креативні ідеї. Розвиток: Регулярні «майстер-класи» від наших експертів та зовнішні навчання. Атмосфера: Дружня робоча атмосфера, яка допоможе тобі швидше досягати успіху. "
PIN-UP Global,General QA Engineer (Python) — Warsaw/Cyprus," Варшава (Польща), Лімасол (Кіпр)"," is one of the directions of the international ecosystem PIN-UP Global, which operates in six countries — Ukraine, Poland, Kazakhstan, Cyprus, Peru, and Armenia.   is the foundation of today’s international ecosystem of PIN-UP Global, the main products of   are platforms for Ukraine and Kazakhstan. PIN-UP Global is an ecosystem of independent companies involved in the life cycle of various entertainment products. Ecosystem companies introduce innovative technologies, non-standard solutions for the development and scaling of products and services. • At least 2 years of experience as a general tester (backend, frontend, API); • Deep knowledge in Quality Assurance, with a strong focus on web applications testing, including manual testing skills for comprehensive coverage of both front-end and back-end systems. • Familiarity with Python, with a basic understanding of Object-Oriented Programming (OOP) principles, ensuring the development of scalable and maintainable test code. • Demonstrated expertise in API testing, including REST, gRPC, and WebSocket protocols, using various manual testing tools to ensure seamless integration and service functionality. • Understanding of the WebDriver concept for browser automation. Knowledge of performance testing tools such as Locust, JMeter, or K6. • Understanding of Continuous Integration/Continuous Deployment (CI/CD) pipelines. • A Bachelor’s degree in Computer Science, Software Engineering, or a related field, or equivalent professional experience, to provide a strong technical foundation. • Strong problem-solving skills and effective communication abilities to collaborate with team members and stakeholders. • Manual Testing • Bug Reporting • Automated Testing • Test Execution and Analysis • Stakeholder Engagement and Communication • Updating documentation based on received requirements 🍀An exciting and challenging job in a fast-growing product ecosystem, the opportunity to be part of a multicultural team of top professionals in Development, Engineering and Architecture, Management, Operations, Marketing, etc; 🤝Great working atmosphere with passionate IT experts and leaders, sharing a friendly culture and a success-driven mindset is guaranteed; 📍Beautiful offices in Kyiv, Warsaw, Limassol, Almaty, Yerevan — work with comfort and enjoy the opportunity to build a network of connections with IT professionals day by day; 🧑‍💻Laptop & all necessary equipment for work according to the ecosystem standards; 🏖Paid vacations, personal events days, days off; 🫖Paid sick leave; 👨‍⚕Medical insurance; 💵Referral program — enjoy cooperation with your colleagues and get the bonus; 📚Educational support by our L&D team: internal and external trainings and conferences, courses on Udemy; 🗣Free internal English courses; 🤸‍♀Sport benefit; 🦄Multiple internal activities: online platform with newsletters, quests, gamification and presents for collecting bonuses, PIN-UP talks club for movie and books lovers, board games cozy evenings, special office days dedicated to holidays, etc; 🎳Company events, team buildings."
Poklyk,Middle Backend Engineer (Python)," Київ, за кордоном, віддалено"," is a   specializing in developing and advancing our web and mobile applications,   and  , designed for SME automation. Our services empower businesses to streamline processes and embrace a more technological approach. We seek a highly skilled   to bolster our team. At our organization, we employ a product engineering methodology, ensuring that our products are meticulously crafted to precisely meet the diverse business requirements of our valued users. Python 3.11, Django 4, DRF, Celery, PostgreSQL, Redis, RabbitMQ, OpenAPI, Swagger, Pytest, FastAPI — 2+ years of experience working as a Python Developer — Strong programming skills in Python — Understanding of the REST API model — Experience with PostgreSQL, raw SQL — Experience with RabbitMQ, Celery — Experience with Redis — Familiar with smoke/unit testing with Pytest — Experience with bash — Experience with Git — Development of new functionality from scratch — Development and description of new API methods — Optimization and development of existing solutions — Close interaction with development teams like QA, Frontend, DevOps — Database query profiling and optimization — Participants in the development of some microservice layers — Experience with Docker and Docker Compose — Experience with DRF or FastAPI — Knowledge of relational database indexing/sharding/partitioning — Official employment with all the accompanying benefits. — Direct involvement in product development, as we discuss each improvement proposal with the entire team. — The opportunity to work with one of the leading IT companies in business automation is recognized as essential to the Ukrainian economy. — Flexible working arrangements, whether hybrid or fully remote. — A chance to join a company recognized by programs like MasterCard Start Path Ukraine and Google for Startups. — 18 vacation days, 10 days off, and paid sick leave. — Access to English language courses for professional growth. — Reimbursement for professional development activities, including courses, webinars, and related resources.   — Intro call with a recruiter (30 min) — Pre-interview with Team Lead (30 min) — Technical Interview with Team Lead and CTO (1h 30 min) — Offer from Poklyk Let’s create the future together 🚀"
Mate academy,Python Developer/Part-time Mentor, віддалено,"1 рік комерційного досвіду як Python Developer; Вміння комунікувати з людьми та допомагати їм вирішувати проблеми; Вміння якісно планувати свій час та самостійно систематизувати власний графік. Перевірка домашніх завдань студентів Python курсу; Відповіді на питання студентів в чаті та на zoom дзвінках; Проведення пробних технічних інтерв’ю для студентів; Пропонування власних ідей для вдосконалення нашого навчального процесу. Місію допомогти мільйонам людей розпочати кар’єру в технологічній сфері ; Мінімум бюрократії ; Неймовірну команду, яка пишається своєю справою, і це робить роботу захоплюючою пригодою ; Практику твоїх soft-skills — менторство чудовий спосіб швидше дорости до Senior позицій ; Погодинну оплату і гнучкий графік — твій тиждень менторства буде включати 10+ годин роботи, які ти сам (-а) можеш розподілити протягом тижня. Надішли своє CV; Виконай тестове завдання; Пройди співбесіду, яка буде містити в собі HR та технічну частину. Ця пропозиція відповідає твоїм кар’єрним цілям? Тоді давай знайомитись! "
Improvs,Python Developer (Middle), віддалено,"2+ years of experience with Python Knowledge of Django Understanding of RESTful API design and functionality Experience with CI/CD, GitHub Actions, or similar tools Database experience Experience with Docker Understanding of SOLID principles Proficiency in working with GIT/GitHub English — Intermediate Knowledge of JavaScript Developing, modifying, and debugging web applications Creating new features and fixing bugs in the source code Collaborating with other team members to achieve project goals Ensuring high code quality through testing and code review Reporting on development processes Employee care: Paid vacations and 100% paid sick leave. Unlimited career growth opportunities. Comfortable conditions: Preferred work format (remote, hybrid, office). Flexible work schedule. Employment in a way that suits you. Expert and friendly team: Healthy relationships among people. Adequate management. The opportunity to enhance your skills with a strong team. Corporate events: We believe in taking breaks from work, so we organize team-building events and business trips for professional development. "
COAX Software,Middle Python Developer, Івано-Франківськ,"  COAX Software займається створенням продуктів у сферах e-commerce, fintech, real estate, travel на ринках Європи, США, Британії та інших країн на аутсорс та аутстаф основі. Працюємо тільки над крутими та справді актуальними проєктами, які роблять наше життя кращим! : — щопіврічні перегляди на основі PDP та OKR; — справді гнучкий графік: головне — бути присутнім на дзвінках і підтримувати зв’язок з командою. А як ви розкидаєте решту робочих годин — справа ваша; — усі тулзи для роботи та wiki-база курсів, щоб прокачатись технічно; відкриті до нових ідей та думок менеджери; — без бюрократії: є проблема? Стукайте у двері руми   і скажіть про це. Ми за відкритість і швидке вирішення кейсів;  — соц. пакет,забезпечення apple технікою — усі ці звичні речі та набагато більше) — рівень розмовної англійської від впевненого  ; — від  комерційного досвіду з Python та Django; — впевнені знання з Redis; — досвід з PostgreSQL; — навички модульного тестування та налагодження за допомогою pytest або інших інструментів; — знання принципів SOLID, DRY, EDD та TDD; — розуміння мережевих протоколів; — досвід із нереляційними базами даних; — із софт скілів, звичайно, відповідальність, проактивність, уважність до деталей та бажання розвиватись.  робота з Elasticsearch,FastAPI, Flask та знання SQLAlchemy, SQLModel або Tortoise ORM.   — підтримка існуючого коду; — робота з командою з впровадження нових рішень, які вирішують проблеми клієнта; — створювати та підтримувати технічну документацію для кодових баз, API та процесів розробки; — оптимізація існуючої кодової бази; — виявляти, діагностувати та вчасно виправляти програмні помилки та проблеми; — забезпечувати ефективну комунікацію; — написання тестів; — брати участь у вирішенні проблем, які виникають та можливість знаходити рішення за допомогою засобів моніторингу; — бути присутнім на мітингах, демо, релізах та різних івентах. P.S. при віддаленому типі співпраці вакансія передбачає локаційне знаходження в Україні та регулярні відрядження в Івано-Франківськ до команди."
