company,title,location,description
Binariks,Middle Strong Python Engineer," Львів, віддалено","At least 3 years of commercial experience with Python Proficiency in Django framework Experience with AWS Strong understanding of relational databases (preferably PostgreSQL) Familiarity with ControlPanel and GitHub Upper-Intermediate English level Develop and maintain the backend of the platform using Django Collaborate with cross-functional team to design and implement new features Optimize application performance and troubleshoot issues Ensure security and data privacy compliance, especially regarding sensitive medical data Ensure code quality through unit testing and code reviews Work within a Waterfall development environment Experience in healthcare-related projects Experience working in small teams or startup environment "
DataRobot,Backend Engineer," Київ, Львів, віддалено","Develop, test, and support features of DataRobot. Create and maintain automated unit tests and functional tests. Design infrastructure for new features with the input of peers. Manage individual projects and milestones with abundant communication of progress. Seek, give, and receive critical feedback in a constructive manner, including but not limited to code reviews. Engage in engineering on-call escalated support of services owned by the team  Competencies should be at a level where a manager can have high confidence in an engineer’s ability to deliver complex solutions on time on an agreed-upon roadmap and manage technical risks.  Should be capable of working with product management to get requirements and drive technical feedback on complexity/approaches. 3+ years of proven experience writing high-quality code in a collaborative environment preferably using Python and/or Go Strong Computer Science fundamentals in object-oriented design, data structures, algorithm design, problem-solving, and complexity analysis. An understanding of design for scalability, performance, and reliability. Deep experience with automated testing and test-driven development Demonstrable knowledge of software architecture for large systems Real-world experience decoupling monolithic software into smaller reusable components  Self-motivated and proactive, able to take ownership and deliver results. Ability and willingness to learn about new technologies. Personal drive to get things finished. Effective communication behavior. Fundamental understanding of Kubernetes and Helm. Experience in building and running software systems on Kubernetes clusters in production Hands-on experience with infrastructure provisioning and configuration using Infrastructure as Code (IaC) principles Experience with AWS, Azure, and/or Google Cloud platforms CKAD (Certified Kubernetes Application Developer) certification Publicly reviewable contributions to interesting development projects. Experience supporting user-facing code and APIs. Data Science experience Identity and Access Management experience CI/CD pipeline experience "
HYS Enterprise,Middle Python developer with LLM experience," Одеса, Бидгощ (Польща), віддалено","— 3+ years of Python experience; — Experience in developing applications using LLM (Large Language Models); — Experience in building applications based on RAG; — Proficiency with popular libraries such as Hugging Face Transformers, LangChain, OpenAI API, Torch, and Haystack; — Proficiency with FastAPI for creating asynchronous APIs; — Knowledge and experience with databases: PostgreSQL and Redis; — Experience with Docker or Podman for containerization; — Familiarity with Git and CI/CD; — Proficiency in building unit tests; — Intermediate level of English. — Familiarity with Pinecone, Weaviate, Faiss, or similar solutions for storing and retrieving vector data; — Hands-on experience with spaCy, NLTK, and Gensim for tokenization, sentiment analysis, and text processing; — Mentoring junior developers experience.   Epicflow is an advanced, web-based project management solution tailored for multi-project management. By focusing on resource availability, Epicflow optimizes workflow efficiency. The tool enhances the capabilities of widely used platforms, including MS Project, Jira, TOPdesk, Primavera, and Trimergo, taking project management to the next level.   — Monday-Friday, 9—18/10—19 working schedule; — Work from office/remote/mix; — Medical insurance; — No time trackers and other manifestations of bureaucracy; — Paid days off and sick days; — Gifts for birthdays and professional holidays; — The ability to test your ideas, lead initiatives, and try something new and interesting; — Communication with experienced specialists willing to share their knowledge; — Participation in internal and external events, the opportunity to build or promote your brand."
SevenPro,Full-Stack Developer (Back-end oriented)," Київ, Харків, віддалено","Develop responsive UI components, ensuring a seamless user experience for farmers and stakeholders; Build and maintain scalable backend systems for effective data collection and processing; Design APIs for integration with various hardware and software components in the agriculture sector; Implement data validation and quality control mechanisms to guarantee data integrity and reliability; Optimize application performance for low-resource environments and conduct thorough testing for scalability and robustness; Conduct regular testing and quality assurance activities to ensure the reliability and robustness of the software solution. At least 3+ years of proven experience as a Full Stack Developer or in a similar role; Experience or knowledge of building app; Strong experience with Python (3+ years); Strong experience with JavaScript (3+ years); Experience in at least one major front-end framework, such as React/Angular/Vue.js; Strong experience with HTML, CSS; Proficiency in API development and integration (Restful API); Strong experience with SQL; Experience in cloud services (Google Cloud Platform, AWS, or Azure); Experience with app cloud integration; Skilled in end-to-end testing, including unit and integration testing, to ensure software reliability and robustness. Experience with GCP (Google Cloud Platform) or a strong willingness to learn it; Knowledge of machine learning frameworks or computer vision algorithms, especially as they relate to agricultural or environmental data; Familiarity with working in resource-constrained environments, optimizing for efficiency and performance in challenging conditions. Working in a team of talented and passionate engineers; Opportunity to work with the most trending technologies; Long-term enjoyable cooperation; Personal legal support; Payable vacation and sick days; Competitive salary depending on your own talents; Regular performance & career development reviews; Team building events. "
WebLab Technology,Middle Python AI Engineer, віддалено,"Design, develop, and deploy AI solutions utilizing Python. Construct and enhance Chains, AI Agents, and AI Pipelines with tools such as Langchain and LlamaIndex. Develop robust APIs leveraging Flask and FastAPI frameworks. Develop solutions using Vector Databases. Gather, clean, and analyze data to uncover patterns and derive insights. Research and apply novel AI techniques and algorithms for continuous improvement. Fine-tune LLMs using both manual and automated feedback mechanisms. Ensure the reliability and optimal performance of AI services through diligent site reliability engineering. Work collaboratively with cross-functional teams to craft impactful AI solutions that drive business growth. Bachelor’s degree in Computer Science, Artificial Intelligence, or a closely related field. Prompt engineering skills. High proficiency in at least one of the following programming languages: Python, TypeScript, Golang, or Rust. Minimum of 1 year experience in developing AI solutions, preferably with LLMs. Strong foundation in Python, with at least 1 year of experience. Ability to design, develop, and deploy machine learning models. Basic NLP skills, including sentiment analysis, named entity recognition, and part-of-speech tagging. Understanding of machine learning principles and algorithms. Familiarity with AI frameworks such as TensorFlow, PyTorch, or scikit-learn. "
Kauri.One,Python Developer (fintech experience), за кордоном,"Hands-on experience in fintech 3+ years of experience in Python Django framework strong knowledge Understanding the basics of asynchronous programs and building a REST API Experience with Fast API Working with Celery (creating tasks, understanding retry, countdown, send mechanisms); SQL/NoSQL Docker, docker-compose, GIT, Unix Skills in written tests: End-to-end, Integration, Unit Analytical thinking to break down complex problems into manageable components Collaboration with other developers, designers, and stakeholders Self-motivation to explore new tools and technologies Intermediate English and strong communication skills. Experience in blockchain services integrations. Update and improvement of the existing functionality Create new features from scratch Integrations with various of payment systems and services Writing tests. Implementation of innovative blockchain and fintech solutions. Code optimizations in security, high-load, etc. Worthy compensation based on interview Remote company with employees concentrated in Ukraine and Europe (Cyprus) Possibility of relocation to Cyprus Continuing education and support for select graduate programs Working with a team of open-minded specialists with a low hierarchy Career development opportunities with professional training programs Flexible working hours for your great work-life balance Performance evaluations every 6 months Full accounting assistance and support The company is open to innovations and suggestions from the employees. "
Sprinterra,Python Automation/Manual QA Engineer, віддалено,"About 4+ years of testing experience, with at least 2+ years in automation testing for web applications Proficiency in Python Ability to work on both manual and automated testing tasks simultaneously Proven experience in developing test automation frameworks from scratch Familiarity with AI-driven automation solutions Strong experience in QA and test automation including REST API testing Strong background in automation development with Selenium Web Driver Strong analytical and problem solving skills Experience in test design and test analysis Experience in testing Web-based applications, Web-services Experience in working with Agile methodology (TDD/BDD/XP/Scrum) Experience in bug report creation and defect management Good knowledge of SQL Motivated and able to work in distributed team in different time zones Ability to work in a team and individually Experience in testing the financial applications Good communication skills, including spoken and written English (upper-Intermediate level) ISTQB Foundation Level Experience in organizing of tests using pytest + cucumber Experience in working with Continuous Integration environments Experience in performance testing "
COXIT,Python (Django) Developer," за кордоном, віддалено","At least 4 years of experience with Python (Django); Experience with  Next.js  and  TypeScript ; Experience with  Docker ; Strong knowledge of  Redis ,  Celery ,  Postgres ; Experience with DevOps, particularly with  AWS ; Experience with  RESTful API  development and API integration. Develop and maintain backend services using Python/Django; Collaborate with front-end developers and other team members to build scalable web applications; Ensure optimal performance, quality, and responsiveness of applications; Implement and integrate third-party APIs as needed; Optimize application for maximum speed and scalability; Participate in DevOps tasks and deployments using AWS; Work with databases such as Postgres and manage asynchronous tasks with Celery; Debug and troubleshoot technical issues. Screening with the recruiter; Technical interview with the client. Accounting coverage and lawyer support; Paid Vacations; Paid 4 paid public holidays (New Year, Independence Day, Day of the Defender of Ukraine, and Christmas); Flexible working hours and the possibility to work remotely; Best-class working equipment (laptop and accessories); Good conditions for skills development: Possibility to upgrade your English for business needs due to working time and coverage of 50% for studying English Offer of Internal WorkShops Wellbeing Sessions as One-to-One meetings. Located in Lviv (Kulparkivska 200a); An inspiring, modern workplace with a great atmosphere and development culture; “Happy Hours” parties; Yoga and sports training at our office; Chillout area: gaming zone with the PlayStations, table tennis & table soccer; Beer, coffee, tea, cookies, etc; Conference rooms. No overtime and pressure; Regular rest, burnout control; Clean relationships within the company and with the client; Responsibility for the own development, ideas, and interests communication, as well for the problems that stand in the way of this development; Openness to the new, readiness for changes; "
SoftConstruct Ukraine,Middle Python Software Engineer (KYC)," Київ, віддалено","Interesting and challenging work in a product and data driven company; Plenty of opportunities to learn, grow and progress in your career; Annual leave: 20 working days per year; All paid sick days with a doctor’s note (no limit on the number of times. But for 1 time it is paid up to 2 weeks); Registration within DiiaCity (Gig-contract); Individual English classes at EnglishDom online school (compensation within 50% of the amount of expenses); €450 / year budget for training and / or sports (compensation within 50% of the amount of expenses) after probationary period; Free health insurance after a probationary period. "
inVerita,Middle Software Development Engineer in Test (Python)," за кордоном, віддалено","Our customer is the global leader in news release distribution and regulatory disclosure. Investor relations, public relations, public policy and marketing professionals rely on it for secure and accurate distribution of market-moving news and multimedia. Founded in 1961, company is a trusted source for news organizations, journalists, investment professionals, and regulatory authorities, delivering news directly into editorial systems and leading online news sources via its multi-patented NX Network. It has 18 newsrooms worldwide to meet the needs of communications professionals and news media. At least 2+ years of experience as a Software Development Engineer in Test; Experience in Python-based test automation frameworks and excellent command of Python programming language; Working knowledge of TestRail to write and execute test cases; Extensive experience in the development and execution of comprehensive test plans; Extensive experience in functional, end-to-end, and other types of testing; Working knowledge of Python; Working knowledge of JS or be willing to learn; Experience with testing Selenium UI automation (using PyTest, Cypress, or similar frameworks); Outstanding communication skills; Independent, self-starter, self-directed and self-motivated individual who takes complete ownership of the product and its outcome; English level: Advanced. Develop detailed test plans across BusinessWire’s portfolio of products and features; Work closely with the development team to develop high-quality products; Perform both manual and automated testing; Ability to investigate and debug difficult problems and independently work towards results; Actively participate in multiple functional areas; Analyze, research, and test new features; Maintain and improve automated test coverage. Career and professional development opportunities; Flexible working hours; Remote work opportunities; 20 paid vacations per business year and National Ukrainian holidays; 10 paid sick leaves; Mentorship program; Courses and Certifications; Business English courses of all levels; Team parties, company events, and branded presents; Comfortable office, equipped with everything you need and round-the-clock access."
INCOAlliance,QA Automation Engineer (Python), віддалено,"We’re looking for an experienced QA Automation Engineer to join our team. You’ll help us improve our quality processes as we move towards full test automation and CI/CD implementation.  Requirements: At least 5 years of experience as a QA automation engineer and developing test automation and infrastructures using Python (advantage) and/or Java. A deep understanding of quality methodologies, testing tools, and CI/CD flows. Experience with Kubernetes, microservices, or cloud technologies would be a significant advantage. Experience with Linux shell and CI/CD utilities would also be a significant advantage. Upper intermediate level of English proficiency. Responsibilities: Designing, writing, developing, and maintaining tests that cover the entire application workflow from start to finish. Build and deploy test pipelines and test processes in CI/CD environment. Creating tools that allow customers to perform testing on their own can enhance the overall user experience and provide them with more control over the software. Develop smart, stable, and clean code using Python, Java and more — BE & FE tests with various tools. Being part of an agile team means working collaboratively, adapting to changes quickly, and delivering value in short iterations. We offer: Сompetitive compensation based on your skills and experience. 24 days of annual paid vacation and 5 sick leaves. Accounting as a service. Long-term employment. Recruitment process: Intro call with with HR (30 mins). A technical interview with QA Automation Engineers(60 mins). An interview with QA Manager (45 mins). Final interview with VP of R&D (30 mins). Final feedback received within a   days after the interview."
IvorySoft,Full-Stack (React/ Python) Developer, віддалено,"IvorySoft is a people-first software engineering and IT consulting company. We provide complex technological solutions for startups and businesses from the USA, UK, Nordic countries, and Canada. To meet our ambitious goals, we are looking for a   to join the growing team that helps to create innovative solutions for the waste management industry.   🌐Our customer is a cutting-edge technology company that provides innovative solutions for the waste management industry. Their platform empowers customers to efficiently manage waste and reduce their environmental impact. The user-friendly platform and data-driven insights help clients make informed decisions, driving positive change for the environment. The primary audience for this product consists of Danish and Nordic municipalities, utilizing our end-to-end platform to deliver state-of-the-art waste collection services to their citizens. 📍 The project is under NDA 📍   👨‍💻 Design, develop, and maintain complex software solutions using Python. 👨‍💻 Write clean, scalable, and maintainable code. 👨‍💻 Collaborate with cross-functional teams to define, design, and ship new features. 👨‍💻 Perform code reviews and ensure adherence to coding standards. 👨‍💻 Stay up-to-date with the latest technology trends and best practices.     💻 4+ of experience in   development. 💻 Experience in   development. 💻 Experience with database design and management. 💻 Excellent problem-solving and analytical skills. 💻 Strong communication skills and the ability to work in a team environment. 💻 Experience with    💻 Experience with Agile methodologies is a plus.   ✅ Building people-first company culture ✅ Top-rated Plus on Upwork with 100% job success score ✅ Building projects from idea to Ycombinator ✅ 50+ successfully finished projects with only positive reviews. ✅ Partnership with Google and MIT   ✅ Become a part of high-quality projects where you can master the latest technologies and make an impact ✅ Working with high-level specialists who always give enormous motivation for the development ✅ Super friendly atmosphere where everyone matters ✅ No bureaucracy and a lot of opportunities for growth ✅ Remote work opportunity and no time tracking — we genuinely trust our collegues.  "
Deloitte,Senior Python Developer (Ukraine location only)," Київ, віддалено","  Education: Information Technology, Computer Science, Data Management Work experience: 3+ years Must be able to write maintainable/scalable/efficient code   — Python (Pydantic) — Scala — Databricks — Spark — Azure — Docker — Compute Virtualization Concepts (e.g., KVM, VMware)   — REST APIs principles (FastAPI and OpenAPI) — Relational databases i.e PostgreSQL / MySQL — NoSql Databases i.e MongoDB — Messaging queues (Async Communication Concepts, RabbitMQ , Amazon SQS,etc) — Linux operating system — Test-Driven Development (TDD) — Contract Testing — Agile and DevOps Practices — Git version control — Experience in creating CI/CD pipelines — Strong unit test and debugging skills — Good verbal and written communication English skills (Upper Intermediate level)   Fluent English in speech and writing (at least B2+)   — Flask, FastAP — Golang — JS/TypeScript — KVM, libvirt — Kubernetes — Creating ETL pipelines — Experience with redfish and TFTP protocols — Infrastructure Automation (IaC) — Graph Databases (like Neo4j, ArangoDB, ...) — Observability Systems: Proficiency in integrating with monitoring and logging systems for real- time insights into system/application performance. Familiarity with tools like Prometheus, Grafana, OpenTelemetry, and other similar stacks (e.g., EFK — Elasticsearch, Fluentd, Kibana). — Virtualization concepts (Networks + IPAM, storage management)   — Strong analytical and critical thinking skills to analyze complex problems and develop innovative solutions.  — Ability to evaluate project risks and make data-driven decisions to mitigate potential issues. — Problem-Solving:  — Exceptional troubleshooting and problem-solving skills, with a focus on root cause analysis and sustainable solutions. — The ability to work independently and take initiative in identifying and addressing technical challenges — Demonstrated commitment to ensuring high-quality deliverables through rigorous standards and processes. — Written, verbal and interpersonal communication skills — Team player attitude."
RubyPlay,Backend Developer (Python), віддалено,"Design, develop, and maintain a  RESTful API  using  Python  (Flask/Django/FastAPI) to support the frontend application. Implement  authentication  and  authorization  using  JWT  and  OAuth2  for secure user access. Develop synchronization services that interface with  Google Drive  and  Google Cloud Storage , ensuring files are synced efficiently. Integrate  Google Cloud Functions  or  Google Cloud Run  to handle scheduled sync tasks. Manage and optimize the  PostgreSQL  database, ensuring efficient querying and storage of metadata for files, users, permissions, and roles. Implement  signed URLs  for secure file access via  Google Cloud CDN . Write and maintain  unit tests  and  integration tests  to ensure high-quality code. Collaborate with the DevOps team to implement CI/CD pipelines and ensure smooth deployment processes. Troubleshoot, debug, and optimize backend performance. 3+ years of experience  in backend development using  Python  and frameworks such as  Flask ,  Django , or  FastAPI . Proficiency with  PostgreSQL  or other relational databases. Strong understanding of  RESTful API design  and implementation. Experience with  Google Cloud Platform (GCP)  services, including  Google Cloud Functions ,  Google Cloud Storage , and  Google Cloud CDN . Familiarity with  Google Drive API  and managing file synchronization. Experience with secure file access using  signed URLs  and  OAuth2 . Solid understanding of security best practices, particularly in authentication and data protection. Experience with  Docker  and containerized applications. Familiarity with  CI/CD pipelines  and version control (Git). Knowledge of  Cloud Run  and  serverless architecture . Talented and open people around Budget for personal development  Well-being Budget Annual bonus Development days to grow professionally Free English classes Paid vacation days/paid sick leaves "
SpeedlineHub Recruiting,Middle Python Developer, за кордоном,"Our client is an international product-based IT company specializing in the iGaming industry. Born in 2014, they rocked the CIS region, and now take the success to the world. We are seeking a highly motivated  to join their team.   — A solid track record of using Python for at least 3 years, with hands-on experience in developing, debugging, and optimizing Python-based applications. — Experience working with MongoDB or similar NoSQL databases. — Understanding of Concurrent Programming: experience in high-load and multi-threaded projects. — Competence in SQL, with the ability to write, optimize, and troubleshoot SQL queries. — Excellent written and verbal communication skills, with the ability to convey technical information clearly and effectively to both technical and non-technical stakeholders. — Practical skills in Go development. — Experience with Django, Tornado, Fastapi. — Experience with Redis.   — Building and optimizing server-side applications and services/microservices for processing data. — Setting up and maintaining integrations with external financial systems, payment gateways. — Designing, optimizing, and managing databases, writing efficient SQL queries, and working with ORM. — Writing unit tests, conducting integration testing, optimizing performance, and debugging code issues.   ⭐ Days of recovery: 20 paid vacation day per year and unlimited sick leave days. ⭐ Health: corporate medical insurance, a company psychologist and a Cafeteria of Benefits for personal wellness choices. ⭐ Education: a variety of foreign languages course for you to choose from. Also we are open for your development and you can choose different courses training for improving your skills. ⭐ Compensation: we offer a selection of additional benefits that can be used according to company policy, e.g. paid business trips, international conference opportunities, lunch perks at our offices etc. ⭐ Work Environment: work remotely or from one of our offices in Cyprus, Portugal, Poland, equipped with the equipment you’ll need for success."
Flyaps,Senior Python Developer, віддалено,"— 5+ years of experience working with Python — Good level experience SQL and Databases — Architectural thinking — Linux — Intermediate level of English — Cutting-edge projects and challenges — Competitive salary — Flexible schedule and comfortable working environment — full-time, work remotely The company’s new project is to create a platform that will host the market-leading services / applications in roaming.The platform should be built on a microservices architecture using APIs, massively scalable and internationally deployable across multiple clouds(AWS, Google, Azure etc). Tech stack:  Python, React, JS, Docker\Kubernetes, Postman, Hadoop, Oracle, Qlik."
CXDojo,Python Software Engineer, віддалено,"implementing cutting-edge cloud AI solutions improving architecture asynchronous programming multithreading LegalTech startup (data collection, engineering and chat-based App) Using OpenAI API Using AWS Cloud The project is built on the FastAPI, Celery, containerized with AWS ECS Various complex scraping algorithms, data engineering pipelines Kanban project management Link:  CaseResearch.ai ,  LinkedIn Supporting and improving existing features Designing and developing new features Designing and developing Unit Tests for the written code Participation in team brainstorming Perfect — 2+ years work experience with Python Experience with Docker, docker-compose Experience with SQL and NoSQL Databases (PostgreSQL, Redis, etc.) Experience with FastAPI and Celery Experience with scraping and data parsing (Selenoid, Selenium) or data engineering libs Experience with AWS (S3, ECS, RDS, ECR, ElastiCache, Lambda, BedRock, etc.) Experience of working with highly-loaded Apps Experience with AI projects, LLMs, LangChain Experience with DE pipelines Understanding of UX concepts Understanding of at least one of the major JS frameworks (Next/React/Vue) Full-time remote position Long-term project Participation in all stages of development Team of LegalTech enthusiasts Full or partial compensation for professional courses, conferences, webinars "
Ciklum,Senior QA Automation (Python) Engineer (24000B6S)," Київ, Львів, Дніпро, Вінниця, віддалено","Create detailed, well-structured test plans and test cases Implement automated distributed tests in Python Gain an in-depth understanding of a complex, clustered system and be able to analyze failures in those systems accurately Collaborate with the R&D team in order to identify and analyze problems, as well as verify and test solutions Become a storage expert who understands the terminology, protocols, configurations, architecture, and practicalities in the frontier of storage technology Architect test automation frameworks from scratch Develop automated functional UI & API tests Integrate automated scripts into the CI/CD process Develop, maintain, and expand automated testing infrastructure Leads code reviews, sets high-quality standards and guides team members in writing better code Define Quality Metrics and implement measurements to determine test effectiveness, and testing efficiency, and measure the overall quality of the Product as a part of the test automation process Analyze test results and report about stability of the product under test Collaborate with other members of the team to automate the manual test processes Manage, analyze, and mitigate testing risks  Onboarding of new team members on the project Suggests improvements to testing and release workflow Excellent communication skills, speaking and writing English fluently are a must 3+ years of professional experience in QA Automation of Web and backend/API testing Solid skills in Python, programming patterns, and principles Storageֿֿ\Networking\Distributed Programming background Experience in Linux; shell scripting: Python, bash An “under the hood” understanding of Python programming that can be used to implement a scalable distributed test environment Thorough experience as an Automation QA Engineer on a complex clustered system Excellent knowledge of different testing methods, techniques, types, and methodologies Experience in the creation or active maintenance of test documentation (test strategy, test plans, etc.) Experience in the creation of automation frameworks from scratch Experience in the test reporting process integration using specific tools Experience in automation scripts using UI and REST APIs using automation tools (e.g. Selenium/Playwright, Request) Familiarity with different automated test frameworks ( Pytest, Robot, etc..)  Experience with BDD, ATDD, or TDD approaches Experience with implementation of continuous integration processes and tools, CI/CD pipelines  Hands-on experience with Docker Experience with UI testing, such as Playwright and Cypress, is an advantage Knowledge of AWS/GCP/Azure DevOps services  Experience with API test automation of microservices-based applications Knowledge of File Systems (NAS) / Block-level Storage / storage networking protocols Experience with mobile automation, cloud device farms Experience with message brokers/queues: SQS, SNS, Kafka, RabbitMQ, etc Good Knowledge of SQL and no-SQL DBs (PostgreSQL, mongo, redis, etc.)  Knowledge of different programming languages, such as JS/Java/C# would be a great plus. Experience of working in an Agile Scrum/Kanban development environment Super strong ownership of the delivery success Good analytical skills Good team player, motivated to solve complex tasks Strong communication and problem-solving skills Self-motivated, self-disciplined and result-oriented Strong attention to details and accuracy Care: your mental and physical health is our priority. We ensure comprehensive company-paid medical insurance, Mental Health programs, as well as financial and legal consultations Tailored education path: boost your skills and knowledge with our regular internal events (meetups, conferences, workshops), Udemy license, language courses and company-paid certifications Growth environment: share your experience and level up your expertise with a community of skilled professionals, locally and globally Own your schedule — you are the one to decide when to start your working day. Just don’t miss your regular team stand-up Opportunities: we value our specialists and always find the best options for them. Our Internal Mobility Program helps change a project if needed to help you grow, excel professionally and fulfill your potential Global impact: work on large-scale projects that redefine industries with international and fast-growing clients Welcoming environment: feel empowered with a friendly team, open-door policy, informal atmosphere within the company and regular team-building events "
Intetics,Software Chatbot Engineer," Київ, Харків, Львів, Батумі (Грузія), Дюссельдорф (Німеччина), Краків (Польща), Варшава (Польща), Єреван (Вірменія), віддалено","Design and implement a secure chatbot platform using  Django (Python)  or  Node.js , ensuring scalability to support 200,000 users. Develop a one-way communication interface tailored for efficient information dissemination and anti-fraud messaging. Ensure compliance with WFP and humanitarian principles and guidelines, focusing on a user-friendly, accessible interface. Create a chatbot interface that is intuitive, accessible, and inclusive of users with disabilities (e.g., voice speaker options, and special text). Implement language support for Ukrainian and English, ensuring localization and context relevance for Ukrainian users. Provide options for text and voice interaction to accommodate different user needs and preferences. Set up and manage a scalable  PostgreSQL  database hosted on AWS, with automated backup and disaster recovery. Optimize the backend to handle high traffic, monitor performance, and integrate an analytics dashboard to track user behavior and chatbot effectiveness. Implement robust security measures, including data encryption (AES-256), role-based access control (RBAC) to CMS, and multi-factor authentication (MFA) to CMS. Ensure secure API integration with Telegram and Viber for messaging, implementing rate limiting and DDoS protection. Integrate with  Telegram  and  Viber  APIs to facilitate platform accessibility and efficient information sharing. Implement Google TTS or similar services for voice responses to enhance accessibility for users who may prefer audio content. Develop a CMS with a user-friendly, WYSIWYG interface, allowing non-technical staff to manage content without altering the system code. Set up role-based access control within the CMS to limit content updates to authorized personnel only. Set up real-time monitoring using AWS CloudWatch, tracking system performance, user interactions, and traffic patterns. Develop an analytical dashboard to track user behavior, chatbot interactions, and key metrics, integrating insights for potential future database integration. Define and execute testing phases, including user acceptance and bug resolution. Develop a demo and assist in the rollout process, implementing updates and improvements based on user feedback and analytics. Provide training for super users on content management and dashboard usage. Offer ongoing support for maintenance, ensuring regular updates and adjustments to meet user needs. Technical Skills:  Expertise in Django or Node.js, PostgreSQL, AWS, Docker, API integration (Telegram, Viber), and Google TTS. Security Expertise:  Strong knowledge of secure coding practices, encryption, and access control mechanisms. Project Management:  Proven ability to independently manage the end-to-end project, meeting milestones within a  6-month  timeline. Communication Skills:  Excellent documentation and training capabilities to support non-technical users. "
"P-Product, Inc.",Backend Engineer, віддалено,"Support, optimize, and develop our backend. Develop new product functionality and improve existing features. Work with Geographic Information Systems (GIS) using QGIS. Develop and optimize services. 3+ years of experience as a Python Backend Engineer Amazon Web Services (AWS): Understand ECR, S3, EC2, and EKS; deep knowledge of all services is not required, but a general understanding of AWS is important. Containerization: Docker, Kubernetes. Databases: PostgreSQL. Task Queues: RabbitMQ. Programming Language: Python 3.12+. Web Frameworks: Django 3+. Background Task Frameworks: Celery. Version Control System: Git. Good English. Web Frameworks: Django REST Framework, FastAPI. Python Libraries: Pandas, GeoPandas, NumPy, GDAL, OSGeo. Databases: Redis, PostGIS, MongoDB. CI/CD: GitLab, ArgoCD. "
Yellow Stone,Рython developer," Київ, віддалено","Інтеграція та оптимізація Data Science рішень на Python; Розробка, підтримка та рефакторінг мікросервісів на FastAPI для забезпечення високої ефективності;  Написання скриптів та допомога аналітикам у створенні репортів за допомогою Jupyter Notebook; Взаємодія з іншими членами команди для визначення ефективних механізмів інтеграції даних.  2 + роки досвіду комерційної розробки на Python; Вміння проектувати та розробляти нескладні веб-сервіси; Знання Python 3+, PostgreSQL, Docker, AWS; Досвід роботи з MySQL, Clickhouse, S3 — розуміння, як працювати з даними; Глибоке знання бібліотек Pandas та NumPy для обробки даних; Досвід роботи з Jupyter Notebook для автоматизації аналітичних процесів; Готовність працювати з кодом, який писали спеціалісти без технічного бекграунду, ефективно розбирати та покращувати його.  20 днів оплачуваної відпустки — для підтримки балансу між роботою та особистим життям; 12 sick days, адже ми розуміємо, що ваше здоров’я має бути на першому місці; Медичне страхування та компенсацію лікарняних днів; Вихідні на державні свята, щоб насолоджуватися додатковим відпочинком; Можливості для розвитку та підвищення кваліфікації в одній з найбільших компаній на ринку; Внутрішні курси та тренінги для покращення ваших професійних навичок; Підтримку ментального здоров’я — доступ до корпоративного психолога; Сучасний офіс зі стабільним інтернетом та генератором для безперебійної роботи; Підтримку корпоративної волонтерської діяльності та участь у благодійних акціях; Позитивну атмосферу та корпоративні подарунки. "
