company,title,location,description
SoftFormance,"Python/Django Web Developer, Middle+\Senior"," Таллінн (Естонія), віддалено","— 4+ роки досвіду розробки та розгортання веб-додатків Python — Відмінне розуміння веб-фреймворку Django (DRF) — Досвід використання Celery для асинхронних завдань (з Redis/RabbitMQ) — Досвід роботи з RDBMS, такими як PostgreSQL та/або MySQL — Впевнені навички в HTML і CSS для швидкого створення прототипів сторінок. — Досвід роботи з реляційними базами даних, такими як MySQL або PostgreSQL. — Досвід роботи з Git для ефективного керування версіями. — Англійська: Upper-Intermediate+ — Комерційний досвід роботи зі ReactJS — Досвід роботи з Docker — GitHub CI/CD — AI/ML/LLMs — Здатність працювати та вчитися самостійно та в команді — Досвід масштабування та оптимізації програмних сервісів — Досвід розробки та підтримки високонавантажених програмних сервісів — Досвід роботи з REST API або іншим бекенд-фреймворком. — Дистанційна посада  — Гнучкий графік (початок робочого дня — до 11.00) — Конкурентна заробітна плата (3200$-5200$) — Повний фінансовий та юридичний супровід приватних підприємців; — Цікаві, складні та динамічні проекти — Хороша команда та добре організовані процеси управління — Регулярні можливості кар’єрного росту та перегляд заробітної плати — Соціальний пакет  — 20 робочих днів оплачуваної щорічної відпустки  — 5 робочих днів оплачуваних лікарняних (якщо потрібно більше днів, обговоримо окремо на особистому рівні) — Уроки англійської мови. Ми можемо надати вам нашого викладача (зазвичай дистанційні уроки по скайпу) або це можуть бути курси, уроки, викладачі на ваш вибір((50% покриває компанія) — Кожен співробітник може отримати бонус за додаткову продуктивність, успіхи та додаткову цінність, надану нашій компанії чи проектам, у яких він/вона бере участь — Оплачуваний пробний період —   місяці Про процес найму — Розгляд резюме — Короткий дзвінок, до 10 хвилин, розмова з HR менеджером Анною — Технічне інтерв’ю з нашими топ-розробниками — Онлайн-інтерв’ю з CEO Віталієм (до 60 хвилин розмова за допомогою Google Meet) — Вітаємо в команді! — Розробка, розгортання та підтримка програмного забезпечення з Python/Django SaaS — Вчасно і в рамках бюджету — Огляд коду — Брати участь у регулярних зборах команди. У нас є регулярні щотижневі збори — Спілкуватися безпосередньо з клієнтами та брати активну участь в обговоренні проекту на високому рівні — Допомагати нам миттєво покращити процеси управління та розвитку — Дотримуватись внутрішніх процесів управління SoftFormance в основному зосереджена на розробці веб-додатків SaaS (програмне забезпечення як послуга). Деякі з них є стартапами, де ми допомагаємо нашим клієнтам швидко створювати та запускати версію MVP. Інші є довгостроковими компаніями SaaS. Тож у вас буде можливість працювати над кількома короткими проектами, а також глибше заглиблюватися в довгострокову співпрацю зі складними та високонавантаженими веб-додатками. Більшість наших клієнтів є зі США та Західної Європи. Більшість наших проектів SaaS зосереджені на наступних нішах: — Автоматизація маркетингу та продажів — CRM та автоматизація бізнес-процесів — і трохи фінансових технологій"
Interactive Online Technologies,Python Developer/Data Scientist, віддалено,"Python development experience from 3 years; WEB development experience (REST API); experience with Pandas, Numpy for working with data; practical experience with  ML-tasks  from a year within a real project; experience with NLP and CNN tasks. Experience with model deployment; experience with TensorFlow, keras, hugging face; experience with SQL Databases; knowledge of GIT, TCP, IP, HTTP(s), XML, JSON, AJAX, UML, basic principles of software production lifecycle and known development methodologies; preferably knowledge and experience in JavaScript; preferably experience with: PyTorch, SciPy, OpenCV, Matplotlib, LangChain; preferably experience with Docker, NoSQL. Participation in the design and development of the chatbot project; participation in the design and development of the image generation project; participation in the design and development of the “smart” translator project. Remote work in a friendly and comfortable team of professional developers WITHOUT the oppression of marketers; On-time salary starting from $5500 gross; 2 weeks paid holiday a year; Paid sick days; Paid time off on major Slavic holidays; Opportunity to attend professional courses at company’s expense; Working week: Sunday-Thursday, 10 a.m. to 7 p.m. Israel time.  "
Digis,Senior Full Stack (Python + TypeScript) Developer, віддалено,5+ years of general experience; At least 2 years with Python; 1 year with Javascript or Typescript; Experience with low-code platforms (like  make.com  or AirTable); Willingness to work on Chrome extension; В2+ English level; A stable and long-term project that has received the support of large investors from the US; An interesting domain;  Opportunity to learn new technologies and implement/propose different solutions and technologies for implementation; Potential to become something big in the future. 
Academy SMART,Python Developer, віддалено," Efficient Development: Design and create efficient, reusable, and scalable backend components and services. API Development: Develop RESTful APIs and integrations to support client applications and services. Performance Optimization: Enhance backend systems to ensure high availability, rapid response times, and robustness. Feature Implementation: Implement new features and capabilities to extend the functionality of the backend system. Bottleneck Resolution: Identify and address bottlenecks in the backend infrastructure to optimize system performance. Maintenance: Maintain and provide support for existing backend applications and infrastructure. Quality Assurance: Collaborate closely with quality assurance and testing teams to implement best practices in development. Experience: A minimum of 4+ years in a backend development role or a similar role. Programming Skills: Proficiency in Python Database Expertise: Experience working with Postgres. API Development: Proficiency in developing and consuming RESTful APIs. Security and Performance: Understanding of web application security and performance tuning. Collaborative Nature: Ability to collaborate effectively with cross-functional product teams.  Communication Skills: Strong communication and analytical skills. 20 working days of paid vacation per year; Official holidays of Ukraine — days off; Modern equipment for work; Corporate events; External and internal training: conferences, professional events, courses, TechTalks; English speaking club. Review CV; HR interview; Professional interview with client. "
Beetroot Academy,Викладач/-ка курсу «Python Розробка»," Київ, Харків, Львів, Одеса, Івано-Франківськ, віддалено","ти Middle або Senior Python Developer; у тебе сильні комунікативні навички; ти володієш письмовою та розмовною англійською мовою. Python basics: data structures, functions, conditional statements, loops, and I/O; OOP; Unit testing; Computer science basics: data structures, sorting and searching algorithms, graphs and trees; Familiarity with Web technologies, protocols, client-server communication, basics of web security; SQL and relational databases; Web frameworks and ORM basics (Django preferably). досвід менторства та викладання; досвід публічних виступів. навчатимеш студентів на заняттях в Zoom  2-3  рази на тиждень; перевірятимеш їхній прогрес та коригуватимеш навчальний процес відповідно до їхніх потреб; будуватимеш атмосферу підтримки та прийняття у групі; мотивуватимеш та надихатимеш студентів на подолання викликів, з якими вони стикаються під час навчання; підтримуватимеш толерантність, рівність та інклюзивність у спілкуванні; братимеш участь у наших заходах як спікер/-ка (за бажанням). зможеш пройти курс для викладачів, щоб підвищити рівень своїх навичок перед викладанням; поглибиш та структуруєш свою базу знань, готуючись до занять; розвинеш свої лідерські якості через викладання; зможеш претендувати на вищу позицію на роботі, продемонструвавши досвід викладання; отримаєш можливість знайти стажера або Junior-спеціаліста для своєї команди за потреби; приєднаєшся до великої мережі ІТ-спеціалістів, які викладають в Beetroot Academy; отримаєш доступ до безплатних уроків англійської мови після випуску першої групи та можливість приєднатися до будь-якого з наших курсів, а також отримати 50% знижку для членів сім’ї після випуску третьої групи; отримаєш додатковий дохід до основного заробітку. "
Elai Inc.,Python Engineer, віддалено,"We are  , an innovative AI-driven startup specializing in video generation. Recently acquired by   — a leader in interactive video solutions — we’re now part of a growing team of around 200 professionals focused on advancing learning through powerful, interactive video technology. We are looking for an   with a strong background in back-end, data-intensive software development to join our team. In this role, you will collaborate closely with our Machine Learning Engineering Team to support and optimize video generative AI applications. • 3+ years of Python development experience. • Proficiency in building and deploying data-intensive applications, with a focus on video processing. • Strong skills in multithreading/multiprocessing programming. • Solid understanding of distributed systems concepts (e.g., sharding, consensus). • Basic knowledge of neural networks, ideally using PyTorch. • Proficiency with Git, Docker, Linux, and Bash scripting. • Experience with Python libraries such as PyTorch, NumPy, and OpenCV. • Familiarity with Kubernetes, Kafka, ZeroMQ, or similar message queue systems. • Design, develop, and maintain data-intensive, low-latency distributed video services. • Make key decisions on architecture and infrastructure to ensure system efficiency and scalability. • Collaborate with ML Engineers to integrate and support generative AI components within the application. • Competitive salary based on qualifications and contributions. • Paid vacation and sick leaves. • Flexible working hours. • Opportunity to work with a highly qualified international, friendly team. • Fully remote work."
Rolique,Python developer," Львів, Вроцлав (Польща), віддалено","Our customer is a company that provides an end-to-end express delivery network infrastructure + operating system utilizing the US commercial airlines for ecommerce delivery. Product’s zone skips packages to all final mile providers including UPS, Fedex, USPS, regional carriers and gig drivers enabling retailers faster delivery at lower rates. ● have 4+ years of commercial experience with Python ● experience working with different databases ● proficiency in designing, building, and maintaining RESTful APIs ● experience working with CI/CD pipelines ● knowledge of cloud environments such as AWS ● strong problem-solving skills and ability to work independently and collaboratively ● english — Upper-intermediate level or higher ● degree in Computer Science or a related field| ● experience being the Lead of the project ● write clean, reusable, testable, and efficient code ● be responsible for developing and maintaining the server-side logic for the company’s products to design and deploy new features and technologies ● be involved in decision-making process of the project ● develop some solutions from scratch ● we believe in fairness, transparency and helpfulness in everyday work ● your personal development is important to us, therefore we promote the internal transfer of knowledge and strengthen your “zone of genius”"
ZONE3000,Python Developer in Hosting Services (Development & Infrastructure) Team (#105), віддалено,"At least 4 years of professional experience Frameworks: Proficiency in Django, Flask, FastAPI Python ORMs: Hands-on with SQLAlchemy, Django ORM, PonyORM, or SQLObject Deep understanding of Python’s asynchronous programming features Hands-on experience with AWS services (e.g., S3, Lambda, RDS, Forgate, Cloudwatch, etc.) Proficiency in designing, developing, and deploying mid / large-scale applications Understanding of clustering, sharding and scaling techniques and principles. Experience with containerized applications Docker / Kubernetes Experience in the testing frameworks (Pytest, Unittest, etc.) Strong understanding of automated CI / CD principles Experience with OS Linux / Unix and understanding of network protocols (DNS, SMTP, TCP / IP, HTTP, TLS / SSL) Strong understanding of relational database engines MySQL and PSQL Expiriеnce in event driven programming, familiarity with one of queue brokers (Kafka, RabbitMQ, ZeroMQ, SNS+SQS, etc.) Motivated for personal development Proactive Good communication skills Team player Leadership or mentorship experience Hands-on experience with Golang or any other compiled language Experience with Web-Hosting control panels (cPanel, Plesk, ISPConfig) Skills in developing SPA applications using Node.js and HTML5 Production experience with MongoDB, ElasticSearch, ClickHouse, InfluxDB, Redis High load Contributing to public open source projects Understanding of the machine learning principles Opportunity to deal with top-notch technologies and approaches in a world-leader product company with millions of customers Opportunity to make a difference for online privacy, freedom of speech, and net neutrality Decent market rate compensation depending on experience and skills Developed corporate culture: no micromanagement, culture based on principles of truth, trust, and transparency “You build it, you own it” mentality in most contexts Support of personal and professional development coverage of costs of external trainings, conferences, professional literature support of experienced colleagues in-house events and trainings regular knowledge sharing in teams English classes and speaking clubs Life-balance support truly flexible schedule, no time-tracking at all 25 working days of vacation 5 days of paid sick leave per month (if necessary) without providing a medical certificate generous maternity leave program coverage of costs of external trainings, conferences, professional literature support of experienced colleagues in-house events and trainings regular knowledge sharing in teams English classes and speaking clubs truly flexible schedule, no time-tracking at all 25 working days of vacation 5 days of paid sick leave per month (if necessary) without providing a medical certificate generous maternity leave program Professionally strong environment, friendly and open atmosphere, ability to influence the product development and recognition for it Development and support of the Hosting microservices Development and support internal SDK Automation of processes  Design and Develop of the new features for internal and external clients Stream a Service ownership Code review Be an active part of a team for Hosting product development "
Anadea,Python Developer, віддалено,"Anadea Inc is a team of more than 130 IT professionals Our developers are extremely technically talented guys and passionate about their technologies, which is dictated by our highly competitive IT market. We are looking for an exceptional Python developer to work with our team and join our community of talented experts. Required skills: — 3+ years of experience developing python applications. — Experience working with web frameworks (Django, FastAPI). — Experience working with relational databases. — Experience in developing architecture and building services from the ground up. — Experience with containerization technologies. — English Intermediate. — Experience in working with event driven architecture. — Upper intermediate English level Nice to have: — Experience working with PostgreSQL. — Experience using cloud (AWS, GCP). — Familiarity with or a willingness to learn Golang. — Ability to work with front-end technologies Responsibilities: — Engage in direct communication with client representatives. — Contribute to both ongoing projects and the initiation of new product launches. — Shape the technical roadmap, focusing on innovation, efficiency, and growth. — Participate in code reviews, design discussions, and team activities to maintain codebase quality and consistency. We offer: — Work with motivated professionals — Continuous performance reviews and appropriate changes in your compensation package — You can influence the technology choice — Professional growth and support of your personal improvement goals — Medical insurance"
Vector Software,Middle Python Engineer," Львів, віддалено","Development and configuration of solution components Implementation of tasks related to solution backend and front-end Participation in Sprint planning, backlog reviews, and daily stand-up sessions Close cooperation with product owners, usability experts and project team members Code review and complete all assigned tasks in a timely and professional manner Perform other related duties as required Minimum of 3 years of professional experience in Python development Proficiency with Python and frameworks such as Dash, Flask, and Django Solid understanding of front-end technologies: JavaScript, React, HTML5, and CSS3 Experience with Redis and MSSQL databases Familiarity with version control systems like Git Strong problem-solving skills and attention to detail Ability to work both independently and collaboratively in a team environment Intermediate level of English or above. Experience with Azure DevOps Knowledge of CI/CD pipelines and deployment strategies Familiarity with containerization tools like Docker Understanding of Agile methodologies. Highly experienced professional community Personal development plan and regular Performance Appraisal Transparent rotation process with an opportunity to switch between different roles, projects, or technology stack Attendance of professional conferences, meetups, and certifications (coverage upon business needs) Internal training programs, free SmartTalks, and TechTalks inside the company Corporate English classes Flexible schedule and possibility to work remotely: feel free to choose an option upon your preferences Paid vacation annually Paid sick leaves annually Health insurance "
